question,category,label
فين اروح علشان اجدد الرخصة لمركبة نقل؟,Traffic,3
ممكن حد يفهمني اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
عايز اعرف احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
هعمل ايه علشان ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
انا محتاج اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
هعمل ايه علشان اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
ممكن حد يفهمني اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
ممكن تقولي ازاي استخرج رخصة سيارتي الجديدة؟,Traffic,3
عايز اعرف ازاي اقدم اقرار ضريبي صفري؟,Taxes,2
عايز اعرف اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
ممكن تقولي ازاي اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,3
ممكن تقولي ازاي استخرج رخصة قيادة جديدة؟,Traffic,3
عايز اعرف استخرج القيد العائلي اونلاين؟,Civil Affairs,0
انا تايه، عايز اعرف القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,2
عايز اعرف ازاي اطلع رخصة سيارة نقل تجاري؟,Traffic,3
عايز اعرف ازاي المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,0
هعمل ايه علشان اعقد عقد جواز جديد؟,Personal Status,1
لو سمحت عايز اعرف اسجل عقد جواز عرفي؟,Personal Status,1
انا محتاج غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
هعمل ايه علشان التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,2
ممكن حد يفهمني استخرج قسيمة زواج اونلاين؟,Personal Status,1
ينفع اجدد رخصة العربية اونلاين؟,Traffic,3
ممكن حد يفهمني اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,0
عايز اعرف ازاي استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
لو سمحت عايز اعرف تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
انا محتاج افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,0
ممكن تقولي ازاي المستندات المطلوبة لرخصة المركبة؟,Traffic,3
لو سمحت عايز اعرف استخرج قسيمة طلاق اونلاين؟,Personal Status,1
لو سمحت عايز اعرف استخرج قسيمة زواج اونلاين؟,Personal Status,1
لو سمحت عايز اعرف انقل ملكية موتوسيكل ازاي؟,Traffic,3
فين اروح علشان المستندات المطلوبة للتسجيل الضريبي؟,Taxes,2
فين اروح علشان البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,2
ينفع اعدل بيانات غلط في عقد الجواز؟,Personal Status,1
ينفع اسجل نفسي في مصلحة الضرائب؟,Taxes,2
عايز اعرف ازاي رسوم التسجيل الضريبي كام؟,Taxes,2
ينفع رسوم توثيق الطلاق كام؟,Personal Status,1
ممكن حد يفهمني اقدم على البطاقة القومي اونلاين؟,Civil Affairs,0
لو سمحت عايز اعرف قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,1
انا تايه، عايز اعرف المستندات المطلوبة للقيد الفردي؟,Civil Affairs,0
انا محتاج اقدم الاقرار الضريبي السنوي؟,Taxes,2
فين اروح علشان اجدد رخصة القيادة قبل ما تخلص؟,Traffic,3
انا تايه، عايز اعرف قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
لو سمحت عايز اعرف اجدد رخصة العربية بعد الانتهاء؟,Traffic,3
انا تايه، عايز اعرف اطلق مراتي رسمي ازاي؟,Personal Status,1
فين اروح علشان ادفع مخالفة المرور اونلاين؟,Traffic,3
عايز اعرف ازاي شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
ممكن حد يفهمني استرد ضريبة دخل مخصومة زيادة؟,Taxes,2
هعمل ايه علشان اطلع بدل فاقد لعقد الجواز؟,Personal Status,1
ممكن تقولي ازاي اسجل عربية جديدة في المرور؟,Traffic,3
عايز اعرف ازاي رسوم القيد العائلي كام؟,Civil Affairs,0
انا تايه، عايز اعرف استخرج رخصة قيادة جديدة؟,Traffic,3
ممكن تقولي ازاي رسوم شهادة الوفاة كام؟,Civil Affairs,0
عايز اعرف اترجم قسيمة الطلاق رسمي؟,Personal Status,1
لو سمحت عايز اعرف غرامة تأخير الاقرار الضريبي كام؟,Taxes,2
ممكن تقولي ازاي رسوم تسجيل المركبة كام؟,Traffic,3
عايز اعرف اقدم اقرار القيمة المضافة الشهري؟,Taxes,2
ينفع اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,1
عايز اعرف ازاي المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
لو سمحت عايز اعرف اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
ممكن حد يفهمني اطلع نسخة من اقرار ضريبي قديم؟,Taxes,2
فين اروح علشان اطلع افادة طلاق رسمية؟,Personal Status,1
فين اروح علشان مدة سقوط مخالفة المرور كام؟,Traffic,3
ينفع اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,1
عايز اعرف ازاي اقسط غرامة مخالفات المرور؟,Traffic,3
هعمل ايه علشان اجدد رخصة القيادة قبل ما تخلص؟,Traffic,3
ممكن تقولي ازاي قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,1
انا تايه، عايز اعرف اطلع شهادة ميلاد كمبيوتر بدل الاول؟,Civil Affairs,0
عايز اعرف ازاي اعدل بيانات في رخصة القيادة؟,Traffic,3
انا محتاج اسجل عقد جواز عرفي؟,Personal Status,1
هعمل ايه علشان الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
هعمل ايه علشان اقدم على رخصة القيادة اونلاين؟,Traffic,3
هعمل ايه علشان اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
فين اروح علشان اعدل بيانات في رخصة القيادة؟,Traffic,3
انا محتاج المستندات المطلوبة للاقرار الضريبي؟,Taxes,2
ينفع اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
عايز اعرف اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,1
ينفع اطلع ايصال دفع مخالفة مرور؟,Traffic,3
هعمل ايه علشان اقدم الاقرار الضريبي السنوي؟,Taxes,2
لو سمحت عايز اعرف رسوم البطاقة الضريبية كام؟,Taxes,2
عايز اعرف ازاي اجدد رخصة العربية اونلاين؟,Traffic,3
عايز اعرف ازاي اطلع شهادة ميلاد كمبيوتر بدل الاول؟,Civil Affairs,0
ينفع استخرج شهادة وفاة لأبويا؟,Civil Affairs,0
لو سمحت عايز اعرف احسب ضريبة الدخل على مرتبي؟,Taxes,2
انا محتاج اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,1
هعمل ايه علشان اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
ممكن حد يفهمني قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,1
عايز اعرف ازاي اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
هعمل ايه علشان اطلق مراتي رسمي ازاي؟,Personal Status,1
